id,opened_ts,asset,series,market_ticker,event_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,spot_at_open,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,count,live,order_id,status,settle_price,settled_ts,pnl,product
14,2026-08-20T02:12:37.415103+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.1099500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.1 to 1.1199,between,1.1,1.1199,yes,buy,2026-08-20T21:00:00Z,1.1115,0.395,0.356,2.811,11.1,6.1,1.75,4,0,,lost,1.2447,2026-08-20T21:19:52.544784+00:00,-1.75,XRP-USD
15,2026-08-20T03:23:10.506272+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T82.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$83 or above,greater,82.9999,,yes,buy,2026-08-20T21:00:00Z,84.355,0.833,0.724,1.38,15.0,39.4,11.23,15,0,,won,87.59,2026-08-20T21:19:52.544784+00:00,4.27,SOL-USD
16,2026-08-20T03:23:10.506272+00:00,SOL,KXSOLD,KXSOLD-26AUG2000-T84.4999,KXSOLD-26AUG2000,"SOL price on Aug 20, 2026?",$84.5 or above,greater,84.4999,,no,buy,2026-08-20T04:00:00Z,84.355,0.72,0.666,1.502,8.1,16.2,4.61,6,0,,won,84.47,2026-08-20T04:05:44.454289+00:00,2.31,SOL-USD
17,2026-08-20T03:23:10.506272+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T81.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$82 or above,greater,81.9999,,yes,buy,2026-08-21T21:00:00Z,84.355,0.859,0.811,1.233,5.9,25.5,7.26,8,0,,won,91.79,2026-08-21T21:15:54.726332+00:00,1.69,SOL-USD
18,2026-08-20T04:05:44.454289+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T85.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$86 or above,greater,85.9999,,no,buy,2026-08-21T21:00:00Z,84.495,0.771,0.734,1.362,5.0,13.8,3.96,5,0,,lost,91.79,2026-08-21T21:15:54.726332+00:00,-3.96,SOL-USD
19,2026-08-20T05:54:32.992792+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T83.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$84 or above,greater,83.9999,,yes,buy,2026-08-21T21:00:00Z,84.845,0.659,0.646,1.547,1.9,3.6,1.02,1,0,,won,91.79,2026-08-21T21:15:54.726332+00:00,0.56,SOL-USD
20,2026-08-20T09:05:22.097585+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T87.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$88 or above,greater,87.9999,,no,buy,2026-08-20T21:00:00Z,87.355,0.713,0.646,1.547,10.4,18.9,5.44,8,0,,won,87.59,2026-08-20T21:19:52.544784+00:00,2.98,SOL-USD
21,2026-08-20T10:29:59.404108+00:00,SOL,KXSOLD,KXSOLD-26AUG2007-T87.4999,KXSOLD-26AUG2007,"SOL price on Aug 20, 2026?",$87.5 or above,greater,87.4999,,no,buy,2026-08-20T11:00:00Z,87.36,0.721,0.646,1.547,11.6,21.3,6.11,9,0,,won,87.21,2026-08-20T11:28:10.637707+00:00,3.34,SOL-USD
22,2026-08-20T11:53:31.719089+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T88.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$89 or above,greater,88.9999,,no,buy,2026-08-20T21:00:00Z,87.66,0.886,0.715,1.399,24.0,37.6,10.96,15,0,,won,87.59,2026-08-20T21:19:52.544784+00:00,4.37,SOL-USD
23,2026-08-20T12:30:39.983243+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T85.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$86 or above,greater,85.9999,,yes,buy,2026-08-20T21:00:00Z,86.835,0.796,0.724,1.38,9.9,25.9,7.57,10,0,,won,87.59,2026-08-20T21:19:52.544784+00:00,2.88,SOL-USD
